name,category,description,image_path,video_path,latitude,longitude,features,voiceover_text,is_available,user_id
"MH-B Block - Mens Hostel B Block (Swami Vivekananda Block)","Hostel","Mens Hostel B Block, named after Swami Vivekananda.","/placeholder.svg?height=400&width=600","https://example.com/videos/mens_hostel_b_tour.mp4",12.9745,79.1500,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Mens Hostel B Block.",TRUE,
"MH-F Block - Mens Hostel F Block (Ramanujam Block)","Hostel","Mens Hostel F Block, named after Ramanujam.","/placeholder.svg?height=400&width=600","https://example.com/videos/mens_hostel_f_tour.mp4",12.9750,79.1495,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Mens Hostel F Block.",TRUE,
"CO₂ - CO₂ Research and Green Technologies Centre","Lab","A research center focused on CO₂ and green technologies.","/placeholder.svg?height=400&width=600","https://example.com/videos/co2_research_centre_tour.mp4",12.9755,79.1490,"{""Research Labs"",""Green Technology""}","Explore the CO₂ Research Centre.",TRUE,
"MH-K Block - Mens Hostel K Block (Dr. Sarvepalli Radha Krishnan Block)","Hostel","Mens Hostel K Block, named after Dr. Sarvepalli Radha Krishnan.","/placeholder.svg?height=400&width=600","https://example.com/videos/mens_hostel_k_tour.mp4",12.9760,79.1485,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Mens Hostel K Block.",TRUE,
"MH-L Block - Mens Hostel L Block (Nethaji Subash Chandra Bose Block)","Hostel","Mens Hostel L Block, named after Nethaji Subash Chandra Bose.","/placeholder.svg?height=400&width=600","https://example.com/videos/mens_hostel_l_tour.mp4",12.9765,79.1480,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Mens Hostel L Block.",TRUE,
"MH-N Block - Mens Hostel N Block (Charles Darwin Block)","Hostel","Mens Hostel N Block, named after Charles Darwin.","/placeholder.svg?height=400&width=600","https://example.com/videos/mens_hostel_n_tour.mp4",12.9770,79.1475,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Mens Hostel N Block.",TRUE,
"MH-M Block - Mens Hostel M Block (Quaid-E-Millat Muhammad Ismail Block)","Hostel","Mens Hostel M Block, named after Quaid-E-Millat Muhammad Ismail.","/placeholder.svg?height=400&width=600","https://example.com/videos/mens_hostel_m_tour.mp4",12.9775,79.1470,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Mens Hostel M Block.",TRUE,
"LAKE - VIT Lake","Other","A serene lake within the campus, offering a peaceful environment.","/placeholder.svg?height=400&width=600","https://example.com/videos/vit_lake_tour.mp4",12.9680,79.1565,"{""Scenic Views"",""Relaxation Spot""}","Explore the VIT Lake.",TRUE,
"LH-A Block - Ladies Hostel A Block (Indira Gandhi Block)","Hostel","Ladies Hostel A Block, named after Indira Gandhi.","/placeholder.svg?height=400&width=600","https://example.com/videos/ladies_hostel_a_tour.mp4",12.9690,79.1550,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Ladies Hostel A Block.",TRUE,
"LH-B Block - Ladies Hostel B Block (Kalpana Chawla Block)","Hostel","Ladies Hostel B Block, named after Kalpana Chawla.","/placeholder.svg?height=400&width=600","https://example.com/videos/ladies_hostel_b_tour.mp4",12.9695,79.1555,"{""Accommodation"",""Common Rooms"",""Mess""}","Explore Ladies Hostel B Block.",TRUE,
